FACILITYID,mean_ozone
10006642,60.76570701599121
10000729,58.184030532836914
10002616,73.80851745605469
10003486,64.7379379272461
10003455,71.40049362182617
10003460,70.08378219604492
10003488,65.56236775716145
10003483,64.03681564331055
10003472,72.55461883544922
10003479,61.809908866882324
10003464,64.35561943054199
10003465,64.3428560892741
10002617,61.90726375579834
10003453,69.23957824707031
10001701,70.2589340209961
10003447,59.269447326660156
10003461,70.37278747558594
10001699,69.0017318725586
10001080,58.41191736857096
10001082,59.6097354888916
10001091,59.205162048339844
10001090,60.089056968688965
10004024,57.476243336995445
10001574,56.18582725524902
10001936,53.75728225708008
10004134,55.18332290649414
10006305,60.83102226257324
10001925,57.59523391723633
10006956,53.47576141357422
10006957,58.58868408203125
10001590,59.676082611083984
10000356,58.06640434265137
10000187,61.02402687072754
10002941,56.32003688812256
10000186,60.73730545043945
10000205,62.426310539245605
10000257,54.53212356567383
10004143,57.300488789876304
10004146,61.446556091308594
10002998,64.34228006998698
10001866,60.888885498046875
10006614,72.84446716308594
10001980,62.018086751302086
10001794,61.16854476928711
10006308,71.69598134358723
10003800,63.37092590332031
10003014,73.01545333862305
10000258,59.20871353149414
10006328,59.74743398030599
10000630,61.49065653483073
10000409,59.29453659057617
10000525,60.18580754597982
10003138,55.94367599487305
10004903,59.32540702819824
10001068,59.12880833943685
10005599,70.83320426940918
10001518,61.21454429626465
10003135,56.91066551208496
10003202,57.799957275390625
10004005,63.85852559407552
10003175,55.91268253326416
10003144,56.7957878112793
10003145,56.785621643066406
10003227,60.50929641723633
10003124,52.993247985839844
10003196,58.015530586242676
10003200,56.83824157714844
10002298,63.98636372884115
10004018,61.2743288675944
10002305,63.198848724365234
10003996,64.00822257995605
10004002,64.55982462565105
10004004,63.926920572916664
10003993,61.080589294433594
10001512,61.08627192179362
10004003,64.04869842529297
10003990,63.79601287841797
10002723,74.90411376953125
10002281,56.2259152730306
10004241,58.8698616027832
10006598,64.27166748046875
10006600,64.38658142089844
10006601,59.43659210205078
10003160,56.04031944274902
10000754,56.70512262980143
10003235,64.08721160888672
10000763,57.777557373046875
10001496,54.12434005737305
10004921,60.4897346496582
10004923,60.678701400756836
10001504,59.61814498901367
10005600,70.80899429321289
10003140,54.1869265238444
10001065,60.55426788330078
10003141,54.1978874206543
10000528,60.16102981567383
10003128,55.81918716430664
10000745,55.6025644938151
10000744,56.17423725128174
10004895,60.171945571899414
10004920,56.178062438964844
10003131,52.025569915771484
10004256,62.45864295959473
10002290,63.854360580444336
10003127,55.87561289469401
10006608,60.91030502319336
10003757,NA
10003199,60.066956520080566
10003195,58.01451110839844
10003166,58.1057383219401
10003188,56.01604461669922
10003198,59.527520179748535
10003132,52.303428649902344
10003122,54.16136169433594
10003189,55.95156288146973
10006203,NA
10006519,NA
10001054,64.55442810058594
10001060,53.57850646972656
10001075,63.77146625518799
10003152,54.758530934651695
10003149,55.02728780110677
10001072,59.757577896118164
10001071,57.72118663787842
10004712,69.60994148254395
10001051,62.66502857208252
10006382,62.98320770263672
10001059,60.553351402282715
10001052,62.06357765197754
10006545,62.20842361450195
10003204,57.87483882904053
10006198,58.88350009918213
10002713,60.98489570617676
10003197,57.70321273803711
10005554,58.414899826049805
10006616,59.93554178873698
10003146,55.28279781341553
10000752,55.676095962524414
10004928,61.47506904602051
10001816,57.40930430094401
10001547,57.709588368733726
10004121,58.72266387939453
10001586,61.0352897644043
10001582,58.340667724609375
10001578,56.386470794677734
10003268,56.26946258544922
10003327,55.888468424479164
10006658,58.81069755554199
10006663,61.571340560913086
10001096,58.991000175476074
10001077,58.168283462524414
10001087,60.400025367736816
10001099,58.81069755554199
10005639,60.004831314086914
10001100,58.691802978515625
10001856,61.875925064086914
10001853,58.08715057373047
10001852,57.535139083862305
10001078,58.14448165893555
10001863,58.31397819519043
10001076,59.42224311828613
10006541,60.43491744995117
10001089,60.650630950927734
10001862,60.00851821899414
10001861,60.00851821899414
10001093,58.80141830444336
10001871,57.63473892211914
10001869,58.434518814086914
10004286,57.75869369506836
10003073,56.80579090118408
10001597,56.56826210021973
10001232,NA
10003316,62.116434733072914
10000387,56.245260874430336
10005043,57.93421936035156
10000360,59.28695583343506
10000370,58.0278205871582
10001240,NA
10002843,63.13023853302002
10002987,58.969539642333984
10002988,59.9124870300293
10003012,73.63419087727864
10003002,62.978675842285156
10002997,67.3530044555664
10003006,69.15001169840495
10000261,72.70436477661133
10003004,69.41504160563152
10003799,62.02918497721354
10000260,68.93501281738281
10006331,58.398895263671875
10002991,61.807149251302086
10002995,67.55180358886719
10002996,67.37901496887207
10003005,69.77189826965332
10003000,66.84962463378906
10000259,59.820387840270996
10003008,72.818115234375
10005319,69.85853576660156
10005272,53.81874084472656
10005267,61.66540718078613
10005362,66.6834831237793
10005275,59.90993309020996
10000811,79.50970077514648
10000840,88.09941482543945
10000881,66.82952117919922
10000784,70.19149271647136
10002322,78.89811515808105
10000492,61.050646464029946
10004116,53.93205897013346
10002176,61.23559494018555
10006596,57.23579025268555
10006208,59.751630783081055
10004122,59.008670806884766
10006597,57.23579025268555
10000540,60.65580940246582
10006389,60.12028503417969
10003579,61.96600532531738
10001737,57.26299476623535
10006505,66.75616073608398
10000155,65.164398193359375
10006304,60.5881462097168
10001790,60.312355041503906
10001776,62.69649696350098
10006507,59.58190409342448
10006509,75.52749443054199
10002897,62.68139902750651
10001301,56.12408320109049
10006513,56.01479911804199
10000917,59.771385192871094
10001550,59.771385192871094
10000182,58.27928585476346
10001544,55.95111083984375
10000879,67.855560302734375
10004922,60.63307189941406
10005830,59.19881057739258
10001636,61.76424980163574
10001614,60.87259165445963
10006354,59.080841064453125
10006148,63.73540782928467
10002347,69.6803207397461
10001761,63.75627326965332
10002908,60.551422119140625
10001826,67.17333602905273
10001023,61.27438831329346
10001759,57.50072224934896
10004216,61.80909729003906
10004177,64.37184143066406
10004219,61.529191970825195
10001763,60.93217754364014
10001801,62.69093322753906
10001552,59.771385192871094
10004173,62.156471252441406
10004165,61.595998764038086
10001788,58.40351867675781
10004035,59.771385192871094
10001558,61.91596794128418
10001752,56.261075019836426
10000053,58.52000617980957
10002359,59.02313041687012
10003759,NA
10002364,61.24749755859375
10006353,61.91596794128418
10004226,60.60727882385254
10004183,63.395304361979164
10001569,58.17672856648763
10001570,58.193416595458984
10001556,59.69428825378418
10001553,59.15953254699707
10000919,61.55484390258789
10001747,63.70780817667643
10004213,60.270355224609375
10001777,62.048330307006836
10001548,57.70460764567057
10001560,61.92798614501953
10001793,61.68231201171875
10004008,60.77677345275879
10000386,59.12278747558594
10006217,61.208292961120605
10001021,56.8467903137207
10003761,NA
10001559,62.01031366984049
10004174,62.11212158203125
10006201,56.7476749420166
10001546,57.64888286590576
10000918,59.771385192871094
10001745,56.70705032348633
10002600,66.13720321655273
10002560,64.913299560546875
10001543,57.92215156555176
10004153,60.07353210449219
10004040,59.22026443481445
10000251,56.085487365722656
10002367,59.927940368652344
10006216,61.19700050354004
10001567,62.65020561218262
10001542,57.90101623535156
10002361,59.77639198303223
10004740,56.769219398498535
10004027,60.13449478149414
10001566,63.26396083831787
10001564,62.352094650268555
10006584,64.38855361938477
10001231,NA
10000533,59.11201477050781
10000519,61.41107368469238
10004029,59.821163177490234
10004741,58.09108098347982
10004742,58.93855285644531
10006310,81.74456024169922
10006315,58.155405044555664
10006585,60.67394828796387
10004204,66.04342460632324
10004028,57.84343338012695
10006348,60.49596659342448
10000060,56.862908681233726
10000219,61.325819651285805
10002885,66.94661712646484
10004017,61.212775230407715
10000621,65.65266799926758
10000252,58.06888008117676
10002817,63.62615839640299
10000915,58.002685546875
10002510,51.52591323852539
10006547,57.76318486531576
10000990,59.1546630859375
10003592,60.68671703338623
10001697,66.33326530456543
10003047,57.35370063781738
10003591,62.67954635620117
10002589,65.95076370239258
10002579,65.88710594177246
10003572,67.31830978393555
10003950,64.27396774291992
10004573,59.55429935455322
10002556,58.38078308105469
10000417,59.751630783081055
10003587,61.27970218658447
10000445,62.17960866292318
10000507,61.24166297912598
10000405,59.97832361857096
10000474,61.9410031636556
10006329,62.07400417327881
10006334,62.93303680419922
10000980,64.76799392700195
10002152,65.26616668701172
10000025,60.2240104675293
10002223,61.78905995686849
10002230,60.83687400817871
10004586,61.19881820678711
10004598,62.611510276794434
10004627,61.575408935546875
10000335,58.65902582804362
10000426,60.84790802001953
10002301,64.3323860168457
10000429,58.92000198364258
10000017,64.32225131988525
10001448,60.64561080932617
10000509,60.86776224772135
10001437,58.6647834777832
10000737,58.01305866241455
10004649,60.21953582763672
10001443,60.94892247517904
10000413,57.18580627441406
10006168,60.10048039754232
10001713,59.493075688680015
10001958,NA
10001145,56.907667795817055
10001725,59.70008850097656
10004556,67.6683578491211
10004585,60.39622974395752
10000433,58.34366226196289
10000441,60.46739196777344
10001732,65.6525650024414
10006602,62.45634460449219
10001729,60.31938934326172
10001733,65.59449513753255
10003121,59.25362777709961
10001133,59.53093910217285
10002688,58.92636362711588
10001176,57.955549240112305
10000986,63.67503992716471
10001716,61.1065673828125
10003077,62.83598327636719
10001204,65.49198913574219
10001042,64.65496826171875
10003082,58.47819709777832
10001150,56.06441020965576
10000696,63.266347885131836
10001722,61.97027015686035
10001519,61.561598777770996
10002225,63.62160110473633
10004239,55.44619878133138
10002629,69.0447285970052
10002689,55.41810735066732
10003580,65.5224666595459
10003585,60.68866729736328
10003584,61.03970591227213
10003387,61.79794883728027
10000223,61.0391845703125
10000195,63.767906188964844
10001143,57.635720570882164
10000770,60.89911651611328
10000244,61.93356450398763
10000237,63.60563564300537
10000160,59.42157872517904
10000211,61.66959285736084
10000180,59.656698862711586
10003995,64.55107879638672
10000481,64.2769266764323
10001867,60.43491744995117
10004580,59.80845514933268
10000351,64.37422561645508
10001875,55.805344899495445
10000157,69.85950469970703
10001061,53.6013437906901
10001873,63.84273910522461
10000438,60.34272257486979
10001286,66.94315719604492
10000393,59.08351516723633
10001265,64.59218215942383
10001303,55.68320337931315
10000189,60.90127182006836
10003134,57.001434326171875
10003136,55.607187271118164
10002287,55.9204044342041
10003165,57.64042663574219
10003192,56.14443397521973
10003193,55.69855976104736
10003156,54.62622578938802
10003130,52.003644943237305
10001821,64.11005878448486
10004447,58.23090744018555
10001404,54.41192054748535
10001601,56.0800895690918
10003308,60.0174446105957
10001960,64.25083351135254
10002096,54.2884521484375
10000751,54.77307001749674
10000759,61.08021799723307
10000378,58.114006996154785
10002098,56.08900705973307
10003787,63.59922981262207
10003769,59.31957117716471
10003795,63.48428853352865
10001249,61.77937698364258
10000676,61.41029739379883
10004446,58.23090744018555
10001246,60.2125301361084
10003783,62.762451171875
10006611,63.05972385406494
10001279,61.38103675842285
10001401,53.54973793029785
10001408,58.12918217976888
10004444,57.86738586425781
10002101,58.146514892578125
10001393,58.19232940673828
10006576,53.213233947753906
10004449,57.4724006652832
10001392,57.89908218383789
10004451,56.08032989501953
10000282,58.146514892578125
10004443,57.86738586425781
10001396,58.163774490356445
10003864,60.40822792053223
10001235,NA
10001457,63.11781565348307
10006591,59.65153884887695
10002630,63.45929972330729
10003201,56.77958679199219
10000059,60.46098709106445
10000165,79.47673416137695
10003601,59.84925651550293
10003603,54.64559555053711
10003602,60.31394577026367
10006587,59.48759078979492
10006588,54.5907236735026
10006589,58.45526885986328
10006590,58.68767547607422
10006592,54.85186195373535
10000496,61.2237434387207
10002658,54.105506896972656
10001575,55.631263732910156
10003255,55.86505126953125
10002377,58.08074378967285
10001585,61.0352897644043
10003626,53.87030792236328
10006184,53.75728225708008
10000461,61.378417015075684
10001584,61.05461883544922
10003329,60.008803049723305
10001238,NA
10006573,53.91830825805664
10003330,60.09688186645508
10001573,55.59589767456055
10001572,56.0328623453776
10001579,55.99558067321777
10003310,60.30587196350098
10001603,55.889408111572266
10003263,57.73374557495117
10000924,56.035353660583496
10003125,53.06832758585612
10003170,56.79886372884115
10001592,59.49695587158203
10001233,NA
10003320,59.77213668823242
10003333,61.17520332336426
10003278,59.21209716796875
10001589,59.676082611083984
10005834,59.33108329772949
10001581,56.129093170166016
10006218,59.50992393493652
10003289,58.79118220011393
10000925,56.06824207305908
10001593,57.95684814453125
10001594,57.95684814453125
10001591,61.222848892211914
10002380,58.20076942443848
10003284,58.35206731160482
10003256,55.86505126953125
10003247,55.78543472290039
10003253,58.04435729980469
10006672,58.99091339111328
10001241,NA
10003764,NA
10006386,NA
10002108,61.75628185272217
10005201,58.83078098297119
10002142,57.46049880981445
10002861,67.09574508666992
10005378,67.53488667805989
10001384,64.2691167195638
10002800,62.64636993408203
10002801,62.85218048095703
10002872,57.54901250203451
10002860,63.8409366607666
10000269,66.01261138916016
10000274,65.34483795166015
10002913,60.590195973714195
10002914,60.59729766845703
10002701,57.210999488830566
10003116,61.715179443359375
10003075,57.007774353027344
10005949,62.20384979248047
10006977,55.14945602416992
10006979,67.10206985473633
10006981,55.15849304199219
10006983,54.48770523071289
10006988,62.557151794433594
10000092,54.59394836425781
10001915,54.60695457458496
10003076,57.0480899810791
10003066,57.966086069742836
10006992,58.186469078063965
10007010,60.96860122680664
10007011,61.0252742767334
10007013,58.477691650390625
10000264,59.01482899983724
10007018,55.91529655456543
10001364,62.60751152038574
10002506,57.75111198425293
10003068,57.94246292114258
10003616,62.16698741912842
10000253,58.397813161214195
10000874,68.23591613769531
10005124,60.515045166015625
10004659,66.75616073608398
10004660,67.3239974975586
10004592,62.06672191619873
10004593,61.88728713989258
10006179,73.10715993245442
10006180,73.03577168782552
10003846,63.44030952453613
10006194,77.02640533447266
10003978,68.2740535736084
10004622,63.711004892985024
10000278,63.308223724365234
10001957,62.91580390930176
10000132,60.71938705444336
10001223,58.85921096801758
10001214,60.641427993774414
10001954,58.39793395996094
10000129,60.46499252319336
10000140,60.706804275512695
10000149,62.98993492126465
10003698,61.89679718017578
10000142,56.35464668273926
10001226,56.56622505187988
10001209,62.163352966308594
10003721,58.46885299682617
10003728,60.24587631225586
10000150,67.20945358276367
10000146,67.67183939615886
10001199,57.86257553100586
10001216,59.64476648966471
10001197,57.73865509033203
10001222,61.12054920196533
10001221,61.110294342041016
10003710,60.706443786621094
10006241,59.77280044555664
10000355,64.8869743347168
10000143,58.28955078125
10000144,57.62691020965576
10001345,54.630794525146484
10000999,62.509568532307945
10002605,65.833953857421875
10004118,57.23926671346029
10002564,61.339820861816406
10003083,59.42941411336263
10003084,59.40180587768555
10003067,57.91883977254232
10006670,59.77476119995117
10006524,60.84925842285156
10000079,58.70391972859701
10000085,57.61505381266276
10001005,67.96825408935547
10000267,66.24744033813477
10000075,63.07617696126302
10000076,61.901512145996094
10000088,57.62851905822754
10001004,64.6578140258789
10001009,65.26807912190755
10000993,60.533260345458984
10001007,63.532283782958984
10000070,60.15412902832031
10006381,58.72167778015137
10001696,66.25815963745117
10000995,61.00201988220215
10001361,61.78097279866537
10002608,68.6739673614502
10000066,61.836771647135414
10000069,60.17925771077474
10000083,62.54570515950521
10002537,59.01219940185547
10002591,60.73478317260742
10002613,70.28276824951172
10002606,68.27095031738281
10000087,58.692474365234375
10000081,58.61062367757162
10000080,58.673373222351074
10001382,69.50825309753418
10006526,58.692474365234375
10006529,62.46362495422363
10002300,64.3323860168457
10000065,62.11923027038574
10003229,62.97887992858887
10001909,65.03230539957683
10000262,61.319637298583984
10001906,64.27095031738281
10001910,57.54774729410807
10000078,58.497676849365234
10006525,58.342769622802734
10000941,60.4445743560791
10003233,60.8788808186849
10002066,60.01130803426107
10006604,58.88715744018555
10000994,60.75645065307617
10001324,61.12726974487305
10001330,59.09815216064453
10006528,65.65236282348633
10003208,63.75926399230957
10006605,60.40547561645508
10001318,55.26368713378906
10001588,59.43897374471029
10006384,64.50006866455078
10003331,58.03409957885742
10001598,56.0800895690918
10003324,56.0800895690918
10006606,59.95891571044922
10000615,68.28970554896763
10006607,61.953529357910156
10000923,56.381229400634766
10000632,65.4209197998047
10000600,69.79046249389648
10003262,57.73374557495117
10001583,59.80246098836263
10006609,58.992515563964844
10003976,67.88529586791992
10003307,62.0389518737793
10006619,58.85305595397949
10002964,55.783294677734375
10004019,62.11961364746094
10003203,57.799957275390625
10006620,60.74550247192383
10003598,55.79690361022949
10006621,57.0105562210083
10006622,56.54560852050781
10002469,47.11907196044922
10002980,54.62660026550293
10003213,61.612894694010414
10000762,57.01157887776693
10002463,47.524478912353516
10001684,50.72919464111328
10001687,55.658965301513675
10001748,63.74918270111084
10001677,60.4423713684082
10001520,62.143486976623535
10006175,53.91280555725098
10006196,67.86044820149739
10006176,53.91183662414551
10006219,59.33236312866211
10000159,58.57891082763672
10006749,59.823368072509766
10001690,55.80788993835449
10001760,63.57404581705729
10001633,59.56314341227213
10001320,55.87105083465576
10003017,52.15947469075521
10004168,63.683942794799805
10006837,60.487457275390625
10004023,57.389418284098305
10001678,49.369144439697266
10004095,60.26578617095947
10002488,54.63418769836426
10000987,54.320353190104164
10002491,54.1696891784668
10001807,59.79487965901693
10002479,48.12530517578125
10001676,49.188681284586586
10002455,50.011844635009766
10001681,50.30839538574219
10001679,51.24658457438151
10002440,47.292179107666016
10002460,59.260440826416016
10002459,59.494850158691406
10002470,47.595985412597656
10002493,55.78010559082031
10005990,53.59823226928711
10000281,57.89908218383789
10002472,47.51056671142578
10002505,60.08468246459961
10002476,55.717909812927246
10002497,55.098045349121094
10002500,49.55963706970215
10002485,54.351430892944336
10000094,54.365434646606445
10000981,64.51665496826172
10000095,54.51897430419922
10001914,54.61018371582031
10001913,53.673248291015625
10001116,54.29279136657715
10002436,69.1500473022461
10003780,61.74623489379883
10001918,54.5849494934082
10006666,54.51363754272461
10006667,57.39049530029297
10003794,63.537376403808594
10001244,62.343512217203774
10003775,66.53398513793945
10003774,66.37875747680664
10003773,66.39509773254395
10000613,65.21936988830566
10000830,81.58429908752441
10000580,63.069070180257164
10004645,59.7637825012207
10003385,62.76803970336914
10002097,56.01687240600586
10001749,64.46184921264648
10002558,58.86902046203613
10000191,62.78350639343262
10002638,61.07071431477865
10001974,58.4580020904541
10002640,62.57958793640137
10001975,58.23899555206299
10001787,60.712677001953125
10001750,64.3856430053711
10004159,62.10459327697754
10004157,60.75177001953125
10002531,59.423543294270836
10001775,61.8786735534668
10000954,58.15346717834473
10002656,59.983612060546875
10001025,62.13493855794271
10004193,57.741196950276695
10000624,63.565725326538086
10001865,60.534915924072266
10002569,65.99220657348633
10006298,62.28085517883301
10000601,70.8395938873291
10004197,61.83842849731445
10000627,63.34501838684082
10001860,59.373958587646484
10003614,62.16698741912842
10003615,62.19746653238932
10003392,64.72333908081055
10000141,62.47961298624674
10003069,56.67595672607422
10003070,56.670753479003906
10003578,68.21721903483073
10001027,60.566152572631836
10001770,60.612887382507324
10000892,71.542572021484375
10000867,62.41726303100586
10006542,60.00851821899414
10000579,63.18049430847168
10000581,63.26926803588867
10001727,66.4741096496582
10001728,66.190155029296875
10002206,65.40638987223308
10001754,60.61395263671875
10005114,59.933223724365234
10001095,59.397897720336914
10004952,59.383413314819336
10001782,60.49830881754557
10005694,59.88444391886393
10006173,55.70095570882162
10000991,60.074148178100586
10006174,55.57644176483154
10006193,63.402520497639976
10006299,62.60621929168701
10000582,63.16338920593262
10000935,67.55744934082031
10000338,58.3199717203776
10000550,60.89035606384277
10000456,61.87337875366211
10000136,59.85669072469076
10002565,60.78006553649902
10006171,55.144537607828774
10006172,58.23065185546875
10006238,60.1425412495931
10001771,62.20260429382324
10000683,62.48888651529948
10000603,70.86668395996094
10000163,69.36651229858398
10000833,81.45153045654297
10001778,60.65377235412598
10000831,81.50574111938477
10001784,61.954806327819824
10000660,60.51923370361328
10000832,81.45071029663086
10000863,62.439290046691895
10000685,65.85369491577148
10004714,61.77841059366862
10004724,65.85369491577148
10000330,58.4004487991333
10000375,59.64704132080078
10000639,63.05145136515299
10000183,62.59039115905762
10003386,62.87269401550293
10000116,61.654266357421875
10001799,58.899014472961426
10006309,59.01261615753174
10000275,68.41996510823567
10006512,68.5625114440918
10000542,60.86726093292236
10001040,58.91277949015299
10000712,57.381235122680664
10001028,56.58123207092285
10004812,58.878824869791664
10003376,60.8597780863444
10003148,55.22722244262695
10000713,57.37076759338379
10001346,57.46052551269531
10001362,61.74512227376302
10002416,65.50729624430339
10000967,58.33529186248779
10002084,54.64908218383789
10002095,54.2884521484375
10003378,60.8895149230957
10000099,57.212640126546226
10000948,58.64518737792969
10002088,61.71117877960205
10001125,60.82597541809082
10000226,60.2768611907959
10003826,72.92452494303386
10000172,62.17346318562826
10006945,61.410194396972656
10006946,61.26321220397949
10000277,63.44795354207357
10001387,67.39846229553223
10006947,56.82320976257324
10006949,54.880836486816406
10000272,62.685473124186196
10004034,59.771385192871094
10001389,61.46441523234049
10001366,70.2410659790039
10003444,60.246734619140625
10001342,50.21766916910807
10006546,59.771385192871094
10006951,55.64723777770996
10003834,62.59537124633789
10001135,59.738996505737305
10001435,68.2464485168457
10006960,58.88285827636719
10001484,58.264705657958984
10003824,73.09939829508464
10001341,59.950767517089844
10001347,57.87679100036621
10006971,57.96855926513672
10001386,63.462388038635254
10003167,58.105268478393555
10001283,63.44665018717448
10002330,70.21396382649739
10000273,62.66449546813965
10001357,63.1468874613444
10001989,63.59109592437744
10004594,62.06594181060791
10003607,54.58224678039551
10004595,62.06594181060791
10004647,61.702731132507324
10000605,62.20922622680664
10000606,67.40125359429254
10001979,61.90707778930664
10001134,59.938133239746094
10002245,71.32562828063965
10005863,71.74253845214844
10004632,61.41395568847656
10002249,64.80692291259766
10000984,66.09566752115886
10002248,65.45189476013184
10000598,65.998748779296875
10000628,63.36628341674805
10000595,67.3625431060791
10000622,76.43654937744141
10000618,68.12671661376953
10003348,64.845306396484375
10003389,65.25176239013672
10003342,63.407483418782554
10003957,68.86084938049316
10006312,67.94075012207031
10005784,65.63126373291016
10003413,68.2353515625
10000626,63.324859619140625
10002244,73.21923065185547
10006610,62.5450553894043
10003973,65.77032852172852
10003974,65.82867050170898
10000188,60.906253814697266
10002246,71.86966705322266
10002247,71.96654510498047
10000826,69.48841285705566
10000852,77.8696517944336
10000836,88.28243103027344
